Gene stable ID	Pig gene stable ID	Pig homology type	Pig orthology confidence [0 low, 1 high]
ENSMUSG00000050232	ENSSSCG00000012402	ortholog_one2one	1
ENSMUSG00000057457	ENSSSCG00000012167	ortholog_one2one	1
ENSMUSG00000047604	ENSSSCG00000038904	ortholog_one2one	1
ENSMUSG00000074852	ENSSSCG00000010535	ortholog_one2one	1
ENSMUSG00000044220	ENSSSCG00000010538	ortholog_one2one	1
ENSMUSG00000090291	ENSSSCG00000013088	ortholog_one2one	1
ENSMUSG00000037578	ENSSSCG00000010552	ortholog_one2one	1
ENSMUSG00000043789	ENSSSCG00000013093	ortholog_one2one	1
ENSMUSG00000034117	ENSSSCG00000013106	ortholog_one2one	1
ENSMUSG00000046272	ENSSSCG00000013157	ortholog_one2one	1
ENSMUSG00000044040	ENSSSCG00000044981	ortholog_one2one	1
ENSMUSG00000079258	ENSSSCG00000010601	ortholog_one2one	1
ENSMUSG00000094219	ENSSSCG00000034671	ortholog_one2one	1
ENSMUSG00000025064	ENSSSCG00000010607	ortholog_one2one	1
ENSMUSG00000065507	ENSSSCG00000019666	ortholog_one2one	1
ENSMUSG00000024842	ENSSSCG00000012906	ortholog_one2one	1
ENSMUSG00000044724	ENSSSCG00000059139	ortholog_one2one	1
ENSMUSG00000075227	ENSSSCG00000013003	ortholog_one2one	1
ENSMUSG00000018822	ENSSSCG00000010529	ortholog_one2one	1
ENSMUSG00000070167	ENSSSCG00000025282	ortholog_one2one	1
ENSMUSG00000040105	ENSSSCG00000005220	ortholog_one2one	1
ENSMUSG00000071573	ENSSSCG00000023141	ortholog_one2one	1
ENSMUSG00000071648	ENSSSCG00000033054	ortholog_one2one	1
ENSMUSG00000071653	ENSSSCG00000058339	ortholog_one2one	1
ENSMUSG00000056481	ENSSSCG00000029949	ortholog_one2one	1
ENSMUSG00000033478	ENSSSCG00000010652	ortholog_one2one	1
ENSMUSG00000006270	ENSSSCG00000010666	ortholog_one2one	1
ENSMUSG00000047298	ENSSSCG00000005228	ortholog_one2one	1
ENSMUSG00000059632	ENSSSCG00000056362	ortholog_one2one	1
ENSMUSG00000056706	ENSSSCG00000062373	ortholog_one2one	1
ENSMUSG00000091212	ENSSSCG00000038131	ortholog_one2one	1
ENSMUSG00000022705	ENSSSCG00000011911	ortholog_one2one	1
ENSMUSG00000071637	ENSSSCG00000032367	ortholog_one2one	1
ENSMUSG00000033210	ENSSSCG00000023918	ortholog_one2one	1
ENSMUSG00000064310	ENSSSCG00000011947	ortholog_one2one	1
ENSMUSG00000090777	ENSSSCG00000010139	ortholog_one2one	1
ENSMUSG00000022755	ENSSSCG00000011962	ortholog_one2one	1
ENSMUSG00000022753	ENSSSCG00000011967	ortholog_one2one	1
ENSMUSG00000047293	ENSSSCG00000058669	ortholog_one2one	1
ENSMUSG00000064427	ENSSSCG00000027845	ortholog_one2one	1
ENSMUSG00000074991	ENSSSCG00000032124	ortholog_one2one	1
ENSMUSG00000055540	ENSSSCG00000033898	ortholog_one2one	1
ENSMUSG00000047854	ENSSSCG00000045484	ortholog_one2one	1
ENSMUSG00000046782	ENSSSCG00000001939	ortholog_one2one	1
ENSMUSG00000034168	ENSSSCG00000002392	ortholog_one2one	1
ENSMUSG00000021294	ENSSSCG00000035093	ortholog_one2one	1
ENSMUSG00000045022	ENSSSCG00000016977	ortholog_one2one	1
ENSMUSG00000021335	ENSSSCG00000001107	ortholog_one2one	1
ENSMUSG00000055811	ENSSSCG00000012031	ortholog_one2one	1
ENSMUSG00000050520	ENSSSCG00000012030	ortholog_one2one	1
ENSMUSG00000050239	ENSSSCG00000021804	ortholog_one2one	1
ENSMUSG00000060081	ENSSSCG00000041660	ortholog_one2one	1
ENSMUSG00000063632	ENSSSCG00000008649	ortholog_one2one	1
ENSMUSG00000087790	ENSSSCG00000019885	ortholog_one2one	1
ENSMUSG00000005980	ENSSSCG00000036527	ortholog_one2one	1
ENSMUSG00000033618	ENSSSCG00000011791	ortholog_one2one	1
ENSMUSG00000033501	ENSSSCG00000040431	ortholog_one2one	1
ENSMUSG00000039179	ENSSSCG00000007904	ortholog_one2one	1
ENSMUSG00000033383	ENSSSCG00000037108	ortholog_one2one	1
ENSMUSG00000076431	ENSSSCG00000056309	ortholog_one2one	1
ENSMUSG00000091972	ENSSSCG00000022341	ortholog_one2one	1
ENSMUSG00000043998	ENSSSCG00000035611	ortholog_one2one	1
ENSMUSG00000046546	ENSSSCG00000011828	ortholog_one2one	1
ENSMUSG00000022780	ENSSSCG00000011837	ortholog_one2one	1
ENSMUSG00000034379	ENSSSCG00000053171	ortholog_one2one	1
ENSMUSG00000034243	ENSSSCG00000011882	ortholog_one2one	1
ENSMUSG00000021721	ENSSSCG00000054440	ortholog_one2one	1
ENSMUSG00000021216	ENSSSCG00000029077	ortholog_one2one	1
ENSMUSG00000046160	ENSSSCG00000012040	ortholog_one2one	1
ENSMUSG00000050423	ENSSSCG00000000997	ortholog_one2one	1
ENSMUSG00000046516	ENSSSCG00000011893	ortholog_one2one	1
ENSMUSG00000022508	ENSSSCG00000011810	ortholog_one2one	1
ENSMUSG00000055194	ENSSSCG00000016923	ortholog_one2one	1
ENSMUSG00000041378	ENSSSCG00000041667	ortholog_one2one	1
ENSMUSG00000050761	ENSSSCG00000030732	ortholog_one2one	1
ENSMUSG00000024575	ENSSSCG00000014438	ortholog_one2one	1
ENSMUSG00000005251	ENSSSCG00000012083	ortholog_one2one	1
ENSMUSG00000045975	ENSSSCG00000025821	ortholog_one2one	1
ENSMUSG00000071636	ENSSSCG00000010089	ortholog_one2one	1
ENSMUSG00000015533	ENSSSCG00000016887	ortholog_one2one	1
ENSMUSG00000110086	ENSSSCG00000040031	ortholog_one2one	1
ENSMUSG00000021704	ENSSSCG00000014116	ortholog_one2one	1
ENSMUSG00000074928	ENSSSCG00000040382	ortholog_one2one	1
ENSMUSG00000068196	ENSSSCG00000011973	ortholog_one2one	1
ENSMUSG00000095105	ENSSSCG00000025986	ortholog_one2one	1
ENSMUSG00000073565	ENSSSCG00000039760	ortholog_one2one	1
ENSMUSG00000037253	ENSSSCG00000034427	ortholog_one2one	1
ENSMUSG00000047161	ENSSSCG00000003721	ortholog_one2one	1
ENSMUSG00000044595	ENSSSCG00000014374	ortholog_one2one	1
ENSMUSG00000051111	ENSSSCG00000034062	ortholog_one2one	1
ENSMUSG00000021553	ENSSSCG00000010960	ortholog_one2one	1
ENSMUSG00000073598	ENSSSCG00000042105	ortholog_one2one	1
ENSMUSG00000044906	ENSSSCG00000004531	ortholog_one2one	1
ENSMUSG00000052957	ENSSSCG00000056862	ortholog_one2one	1
ENSMUSG00000065599	ENSSSCG00000019456	ortholog_one2one	1
ENSMUSG00000065475	ENSSSCG00000019359	ortholog_one2one	1
ENSMUSG00000048904	ENSSSCG00000014309	ortholog_one2one	1
ENSMUSG00000021538	ENSSSCG00000025818	ortholog_one2one	1
ENSMUSG00000018581	ENSSSCG00000015379	ortholog_one2one	1
ENSMUSG00000048996	ENSSSCG00000054486	ortholog_one2one	1
ENSMUSG00000051258	ENSSSCG00000028136	ortholog_one2one	1
ENSMUSG00000046518	ENSSSCG00000015371	ortholog_one2one	1
ENSMUSG00000021362	ENSSSCG00000035562	ortholog_one2one	1
ENSMUSG00000050332	ENSSSCG00000012361	ortholog_one2one	1
ENSMUSG00000043398	ENSSSCG00000032928	ortholog_one2one	1
ENSMUSG00000109858	ENSSSCG00000053523	ortholog_one2one	1
ENSMUSG00000035765	ENSSSCG00000004508	ortholog_one2one	1
ENSMUSG00000021099	ENSSSCG00000005086	ortholog_one2one	1
ENSMUSG00000034460	ENSSSCG00000005089	ortholog_one2one	1
ENSMUSG00000048982	ENSSSCG00000005116	ortholog_one2one	1
ENSMUSG00000059493	ENSSSCG00000012151	ortholog_one2one	1
ENSMUSG00000078302	ENSSSCG00000035878	ortholog_one2one	1
ENSMUSG00000046082	ENSSSCG00000014067	ortholog_one2one	1
ENSMUSG00000020950	ENSSSCG00000033761	ortholog_one2one	1
ENSMUSG00000022155	ENSSSCG00000021645	ortholog_one2one	1
ENSMUSG00000037106	ENSSSCG00000033333	ortholog_one2one	1
ENSMUSG00000045508	ENSSSCG00000001211	ortholog_one2one	1
ENSMUSG00000032905	ENSSSCG00000033912	ortholog_one2one	1
ENSMUSG00000054364	ENSSSCG00000043781	ortholog_one2one	1
ENSMUSG00000050321	ENSSSCG00000027654	ortholog_one2one	1
ENSMUSG00000038415	ENSSSCG00000000991	ortholog_one2one	1
ENSMUSG00000050295	ENSSSCG00000039756	ortholog_one2one	1
ENSMUSG00000047002	ENSSSCG00000026538	ortholog_one2one	1
ENSMUSG00000051224	ENSSSCG00000012122	ortholog_one2one	1
ENSMUSG00000003882	ENSSSCG00000016832	ortholog_one2one	1
ENSMUSG00000021298	ENSSSCG00000036892	ortholog_one2one	1
ENSMUSG00000031138	ENSSSCG00000012711	ortholog_one2one	1
ENSMUSG00000041415	ENSSSCG00000028225	ortholog_one2one	1
ENSMUSG00000044444	ENSSSCG00000058596	ortholog_one2one	1
ENSMUSG00000035711	ENSSSCG00000063429	ortholog_one2one	1
ENSMUSG00000056258	ENSSSCG00000005953	ortholog_one2one	1
ENSMUSG00000024544	ENSSSCG00000027417	ortholog_one2one	1
ENSMUSG00000082229	ENSSSCG00000012415	ortholog_one2one	1
ENSMUSG00000001225	ENSSSCG00000021813	ortholog_one2one	1
ENSMUSG00000053469	ENSSSCG00000005948	ortholog_one2one	1
ENSMUSG00000060534	ENSSSCG00000040836	ortholog_one2one	1
ENSMUSG00000051726	ENSSSCG00000033463	ortholog_one2one	1
ENSMUSG00000024424	ENSSSCG00000003710	ortholog_one2one	1
ENSMUSG00000021356	ENSSSCG00000033381	ortholog_one2one	1
ENSMUSG00000035757	ENSSSCG00000000973	ortholog_one2one	1
ENSMUSG00000024589	ENSSSCG00000004919	ortholog_one2one	1
ENSMUSG00000046791	ENSSSCG00000002344	ortholog_one2one	1
ENSMUSG00000054383	ENSSSCG00000062320	ortholog_one2one	1
ENSMUSG00000064493	ENSSSCG00000036992	ortholog_one2one	1
ENSMUSG00000022262	ENSSSCG00000032827	ortholog_one2one	1
ENSMUSG00000031330	ENSSSCG00000035737	ortholog_one2one	1
ENSMUSG00000035148	ENSSSCG00000025131	ortholog_one2one	1
ENSMUSG00000045440	ENSSSCG00000001949	ortholog_one2one	1
ENSMUSG00000045930	ENSSSCG00000023760	ortholog_one2one	1
ENSMUSG00000065612	ENSSSCG00000024238	ortholog_one2one	1
ENSMUSG00000079871	ENSSSCG00000012248	ortholog_one2one	1
ENSMUSG00000067971	ENSSSCG00000012668	ortholog_one2one	1
ENSMUSG00000045281	ENSSSCG00000021284	ortholog_one2one	1
ENSMUSG00000089317	ENSSSCG00000019258	ortholog_one2one	1
ENSMUSG00000038984	ENSSSCG00000033112	ortholog_one2one	1
ENSMUSG00000018595	ENSSSCG00000012535	ortholog_one2one	1
ENSMUSG00000037347	ENSSSCG00000012265	ortholog_one2one	1
ENSMUSG00000061923	ENSSSCG00000006056	ortholog_one2one	1
ENSMUSG00000031355	ENSSSCG00000012112	ortholog_one2one	1
ENSMUSG00000022315	ENSSSCG00000006011	ortholog_one2one	1
ENSMUSG00000033578	ENSSSCG00000012490	ortholog_one2one	1
ENSMUSG00000038591	ENSSSCG00000029324	ortholog_one2one	1
ENSMUSG00000078907	ENSSSCG00000000205	ortholog_one2one	1
ENSMUSG00000025038	ENSSSCG00000021846	ortholog_one2one	1
ENSMUSG00000057615	ENSSSCG00000060354	ortholog_one2one	1
ENSMUSG00000031374	ENSSSCG00000012768	ortholog_one2one	1
ENSMUSG00000022986	ENSSSCG00000000236	ortholog_one2one	1
ENSMUSG00000051879	ENSSSCG00000000247	ortholog_one2one	1
ENSMUSG00000046834	ENSSSCG00000000251	ortholog_one2one	1
ENSMUSG00000059668	ENSSSCG00000024610	ortholog_one2one	1
ENSMUSG00000061397	ENSSSCG00000027548	ortholog_one2one	1
ENSMUSG00000075394	ENSSSCG00000038993	ortholog_one2one	1
ENSMUSG00000098678	ENSSSCG00000006948	ortholog_one2one	1
ENSMUSG00000065582	ENSSSCG00000019906	ortholog_one2one	1
ENSMUSG00000065523	ENSSSCG00000018349	ortholog_one2one	1
ENSMUSG00000103906	ENSSSCG00000040119	ortholog_one2one	1
ENSMUSG00000024769	ENSSSCG00000013018	ortholog_one2one	1
ENSMUSG00000118671	ENSSSCG00000062085	ortholog_one2one	1
ENSMUSG00000071724	ENSSSCG00000005922	ortholog_one2one	1
ENSMUSG00000031162	ENSSSCG00000027237	ortholog_one2one	1
ENSMUSG00000116336	ENSSSCG00000000240	ortholog_one2one	1
ENSMUSG00000044294	ENSSSCG00000000241	ortholog_one2one	1
ENSMUSG00000049548	ENSSSCG00000000235	ortholog_one2one	1
ENSMUSG00000024518	ENSSSCG00000004910	ortholog_one2one	1
ENSMUSG00000048699	ENSSSCG00000000238	ortholog_one2one	1
ENSMUSG00000054008	ENSSSCG00000032731	ortholog_one2one	1
ENSMUSG00000001655	ENSSSCG00000000279	ortholog_one2one	1
ENSMUSG00000001656	ENSSSCG00000028104	ortholog_one2one	1
ENSMUSG00000001473	ENSSSCG00000038992	ortholog_one2one	1
ENSMUSG00000065488	ENSSSCG00000030509	ortholog_one2one	1
ENSMUSG00000076010	ENSSSCG00000039239	ortholog_one2one	1
ENSMUSG00000046532	ENSSSCG00000012371	ortholog_one2one	1
ENSMUSG00000024302	ENSSSCG00000028047	ortholog_one2one	1
ENSMUSG00000029875	ENSSSCG00000039340	ortholog_one2one	1
ENSMUSG00000051793	ENSSSCG00000059126	ortholog_one2one	1
ENSMUSG00000022421	ENSSSCG00000000092	ortholog_one2one	1
ENSMUSG00000022997	ENSSSCG00000000183	ortholog_one2one	1
ENSMUSG00000022286	ENSSSCG00000006060	ortholog_one2one	1
ENSMUSG00000024682	ENSSSCG00000013117	ortholog_one2one	1
ENSMUSG00000060878	ENSSSCG00000013122	ortholog_one2one	1
ENSMUSG00000067529	ENSSSCG00000056935	ortholog_one2one	1
ENSMUSG00000023039	ENSSSCG00000038966	ortholog_one2one	1
ENSMUSG00000061742	ENSSSCG00000013025	ortholog_one2one	1
ENSMUSG00000056829	ENSSSCG00000005279	ortholog_one2one	1
ENSMUSG00000055745	ENSSSCG00000000022	ortholog_one2one	1
ENSMUSG00000023052	ENSSSCG00000000277	ortholog_one2one	1
ENSMUSG00000063780	ENSSSCG00000049478	ortholog_one2one	1
ENSMUSG00000031101	ENSSSCG00000012652	ortholog_one2one	1
ENSMUSG00000032987	ENSSSCG00000059509	ortholog_one2one	1
ENSMUSG00000022991	ENSSSCG00000024573	ortholog_one2one	1
ENSMUSG00000049536	ENSSSCG00000012532	ortholog_one2one	1
ENSMUSG00000042473	ENSSSCG00000022993	ortholog_one2one	1
ENSMUSG00000037418	ENSSSCG00000023090	ortholog_one2one	1
ENSMUSG00000023074	ENSSSCG00000012686	ortholog_one2one	1
ENSMUSG00000065392	ENSSSCG00000026837	ortholog_one2one	1
ENSMUSG00000065281	ENSSSCG00000028290	ortholog_one2one	1
ENSMUSG00000065782	ENSSSCG00000023669	ortholog_one2one	1
ENSMUSG00000065305	ENSSSCG00000027032	ortholog_one2one	1
ENSMUSG00000024947	ENSSSCG00000013019	ortholog_one2one	1
ENSMUSG00000031012	ENSSSCG00000012253	ortholog_one2one	1
ENSMUSG00000024683	ENSSSCG00000013118	ortholog_one2one	1
ENSMUSG00000044345	ENSSSCG00000010527	ortholog_one2one	1
ENSMUSG00000045903	ENSSSCG00000012942	ortholog_one2one	1
ENSMUSG00000075289	ENSSSCG00000012911	ortholog_one2one	1
ENSMUSG00000063434	ENSSSCG00000010617	ortholog_one2one	1
ENSMUSG00000025017	ENSSSCG00000010509	ortholog_one2one	1
ENSMUSG00000045052	ENSSSCG00000037789	ortholog_one2one	1
ENSMUSG00000031264	ENSSSCG00000026742	ortholog_one2one	1
ENSMUSG00000036278	ENSSSCG00000013043	ortholog_one2one	1
ENSMUSG00000043518	ENSSSCG00000012153	ortholog_one2one	1
ENSMUSG00000025592	ENSSSCG00000036515	ortholog_one2one	1
ENSMUSG00000006456	ENSSSCG00000038008	ortholog_one2one	1
ENSMUSG00000024507	ENSSSCG00000028431	ortholog_one2one	1
ENSMUSG00000024939	ENSSSCG00000035604	ortholog_one2one	1
ENSMUSG00000016534	ENSSSCG00000012604	ortholog_one2one	1
ENSMUSG00000025026	ENSSSCG00000010621	ortholog_one2one	1
ENSMUSG00000035984	ENSSSCG00000054759	ortholog_one2one	1
ENSMUSG00000024621	ENSSSCG00000014441	ortholog_one2one	1
ENSMUSG00000008035	ENSSSCG00000025447	ortholog_one2one	1
ENSMUSG00000052372	ENSSSCG00000012196	ortholog_one2one	1
ENSMUSG00000024359	ENSSSCG00000014338	ortholog_one2one	1
ENSMUSG00000039521	ENSSSCG00000012300	ortholog_one2one	1
ENSMUSG00000044957	ENSSSCG00000027327	ortholog_one2one	1
ENSMUSG00000071112	ENSSSCG00000032123	ortholog_one2one	1
ENSMUSG00000031112	ENSSSCG00000021205	ortholog_one2one	1
ENSMUSG00000085111	ENSSSCG00000000159	ortholog_one2one	1
ENSMUSG00000024511	ENSSSCG00000035243	ortholog_one2one	1
ENSMUSG00000032855	ENSSSCG00000008041	ortholog_one2one	1
ENSMUSG00000054477	ENSSSCG00000014213	ortholog_one2one	1
ENSMUSG00000031139	ENSSSCG00000012712	ortholog_one2one	1
ENSMUSG00000052229	ENSSSCG00000040850	ortholog_one2one	1
ENSMUSG00000044322	ENSSSCG00000003726	ortholog_one2one	1
ENSMUSG00000053604	ENSSSCG00000008207	ortholog_one2one	1
ENSMUSG00000024331	ENSSSCG00000024800	ortholog_one2one	1
ENSMUSG00000056203	ENSSSCG00000016458	ortholog_one2one	1
ENSMUSG00000071494	ENSSSCG00000036539	ortholog_one2one	1
ENSMUSG00000065406	ENSSSCG00000019827	ortholog_one2one	1
ENSMUSG00000080115	ENSSSCG00000037619	ortholog_one2one	1
ENSMUSG00000025666	ENSSSCG00000024132	ortholog_one2one	1
ENSMUSG00000006724	ENSSSCG00000028637	ortholog_one2one	1
ENSMUSG00000043605	ENSSSCG00000015469	ortholog_one2one	1
ENSMUSG00000025269	ENSSSCG00000012348	ortholog_one2one	1
ENSMUSG00000064036	ENSSSCG00000004521	ortholog_one2one	1
ENSMUSG00000055639	ENSSSCG00000009457	ortholog_one2one	1
ENSMUSG00000020021	ENSSSCG00000000901	ortholog_one2one	1
ENSMUSG00000019647	ENSSSCG00000014224	ortholog_one2one	1
ENSMUSG00000047492	ENSSSCG00000000442	ortholog_one2one	1
ENSMUSG00000048473	ENSSSCG00000026594	ortholog_one2one	1
ENSMUSG00000048279	ENSSSCG00000035493	ortholog_one2one	1
ENSMUSG00000047025	ENSSSCG00000039400	ortholog_one2one	1
ENSMUSG00000019893	ENSSSCG00000026978	ortholog_one2one	1
ENSMUSG00000051728	ENSSSCG00000062452	ortholog_one2one	1
ENSMUSG00000116967	ENSSSCG00000057115	ortholog_one2one	1
ENSMUSG00000075478	ENSSSCG00000009485	ortholog_one2one	1
ENSMUSG00000043972	ENSSSCG00000027863	ortholog_one2one	1
ENSMUSG00000016327	ENSSSCG00000012606	ortholog_one2one	1
ENSMUSG00000100486	ENSSSCG00000047857	ortholog_one2one	1
ENSMUSG00000041293	ENSSSCG00000001726	ortholog_one2one	1
ENSMUSG00000056632	ENSSSCG00000027160	ortholog_one2one	1
ENSMUSG00000022129	ENSSSCG00000009490	ortholog_one2one	1
ENSMUSG00000038602	ENSSSCG00000004250	ortholog_one2one	1
ENSMUSG00000079480	ENSSSCG00000023312	ortholog_one2one	1
ENSMUSG00000096140	ENSSSCG00000032691	ortholog_one2one	1
ENSMUSG00000061517	ENSSSCG00000009494	ortholog_one2one	1
ENSMUSG00000024826	ENSSSCG00000012995	ortholog_one2one	1
ENSMUSG00000025401	ENSSSCG00000000413	ortholog_one2one	1
ENSMUSG00000024515	ENSSSCG00000004524	ortholog_one2one	1
ENSMUSG00000031278	ENSSSCG00000012583	ortholog_one2one	1
ENSMUSG00000040127	ENSSSCG00000000415	ortholog_one2one	1
ENSMUSG00000022056	ENSSSCG00000009646	ortholog_one2one	1
ENSMUSG00000022057	ENSSSCG00000009645	ortholog_one2one	1
ENSMUSG00000036019	ENSSSCG00000024065	ortholog_one2one	1
ENSMUSG00000024353	ENSSSCG00000029239	ortholog_one2one	1
ENSMUSG00000044186	ENSSSCG00000028064	ortholog_one2one	1
ENSMUSG00000036585	ENSSSCG00000024954	ortholog_one2one	1
ENSMUSG00000022061	ENSSSCG00000031924	ortholog_one2one	1
ENSMUSG00000044026	ENSSSCG00000027230	ortholog_one2one	1
ENSMUSG00000024979	ENSSSCG00000010632	ortholog_one2one	1
ENSMUSG00000000435	ENSSSCG00000000937	ortholog_one2one	1
ENSMUSG00000091455	ENSSSCG00000000943	ortholog_one2one	1
ENSMUSG00000040247	ENSSSCG00000012912	ortholog_one2one	1
ENSMUSG00000029553	ENSSSCG00000038138	ortholog_one2one	1
ENSMUSG00000029831	ENSSSCG00000036611	ortholog_one2one	1
ENSMUSG00000024317	ENSSSCG00000003730	ortholog_one2one	1
ENSMUSG00000000183	ENSSSCG00000032662	ortholog_one2one	1
ENSMUSG00000067571	ENSSSCG00000034847	ortholog_one2one	1
ENSMUSG00000036430	ENSSSCG00000026741	ortholog_one2one	1
ENSMUSG00000023978	ENSSSCG00000031628	ortholog_one2one	1
ENSMUSG00000025226	ENSSSCG00000038504	ortholog_one2one	1
ENSMUSG00000109835	ENSSSCG00000031389	ortholog_one2one	1
ENSMUSG00000014498	ENSSSCG00000000386	ortholog_one2one	1
