dataset,metric,batchelor_fastmnn,batchelor_mnn_correct,bbknn,combat,embed_cell_types,embed_cell_types_jittered,geneformer,harmony,harmonypy,liger,mnnpy,no_integration,no_integration_batch,pyliger,scalex,scanorama,scanvi,scgpt_zeroshot,scimilarity,scvi,shuffle_integration,shuffle_integration_by_batch,shuffle_integration_by_cell_type,uce,scgpt_finetuned,scprint,TranscriptFormer,scPRINT-1
gtex_v9,kbet,0.3386,,,0.2076,0.9487,0.9439,0.019,0.2943,0.2901,0.2758,,0.2808,0.1557,0.3028,0.1775,0.0336,0.3114,0.3459,0.3302,0.277,0.1235,0.0389,0.9477,0.3237,,,0.20084663957732388,0.19074505860184454
gtex_v9,nmi,0.7879,,0.7754,0.7829,1,1,0.3951,0.729,0.7592,0.6448,,0.8293,0.6689,0.6385,0.6388,0.1834,0.8958,0.7884,0.7977,0.8414,0.0014,0.1438,0.8289,0.8201,,,0.8170532358975188,0.16345532374446392
gtex_v9,pcr,0,,,1,0,0,0,0.6824,0.6853,0.6183,,1.5372e-7,1,0.6502,0.9987,0.0279,0.1043,0.0445,0,0.4756,0.9993,1.0923e-7,0.2343,0,,,0.0,0.6329746043985796
hypomap,ari,0.3749,,0.7918,0.2244,1,1,,0.458,0.4706,0.3257,,0.2567,0.2262,0.3098,0.4355,0.0199,0.2298,,,0.2436,0.0002,0,0.2725,0.4152,,,0.13802979686407052,0.2277238395582974
hypomap,asw_batch,0.8452,,,0.8688,0.8566,0.8644,,0.8009,0.8001,0.7331,,0.8535,0.6914,0.6985,0.8106,0.8273,0.8037,,,0.8482,0.7499,0.7426,0.7863,0.9197,,,0.7795705199241638,0.858088493347168
hypomap,asw_label,0.6002,,,0.6107,0.9897,0.9897,,0.6463,0.6421,0.6167,,0.6104,0.5814,0.6309,0.6269,0.4895,0.6411,,,0.5705,0.4816,0.4937,0.6104,0.5774,,,0.5380287766456604,0.5583555102348328
hypomap,cell_cycle_conservation,0.7325,,,0.7374,0.4873,0.4859,,0.6202,0.6187,0.6155,,0.6014,0.737,0.5898,0.4224,0.1102,0.7304,,,0.6671,0.1001,0.0734,0.7099,0.673,,,0.45401000297492206,0.7586023207337246
hypomap,clisi,1,,1,1,1,1,,1,1,1,,1,1,1,1,0.8977,1,,,1,0.8727,0.8735,1,1,,,1.0,1.0
hypomap,graph_connectivity,0.8986,,0.8943,0.9141,1,1,,0.9123,0.9145,0.8795,,0.9053,0.8672,0.8826,0.8135,0.3444,0.8955,,,0.9156,0.2086,0.1989,0.9052,0.8987,,,0.7289276048215918,0.9307483630625787
hypomap,hvg_overlap,,,,0.5648,,,,,,,,,,,0.2441,0.2326,,,,,0.53,1,0.5727,,,,,
hypomap,ilisi,0.0005,,0.182,9.6541e-18,0.0048,0.0048,,0.0007,0.0006,0.0023,,9.6541e-18,0,0.0024,1.9308e-17,9.6541e-18,1.9308e-17,,,1.9308e-17,0.0052,9.6541e-18,0.0048,3.8616e-17,,,9.654113257610057e-18,2.896233977283017e-17
hypomap,isolated_label_asw,0.2582,,,0.3258,0.99,0.9897,,0.3179,0.314,0.3476,,0.3246,0.3603,0.3446,0.2446,0.4438,0.3342,,,0.3895,0.4947,0.489,0.3246,0.342,,,0.4274919033050537,0.5096368305385113
hypomap,isolated_label_f1,0.0028,,0.0034,0.0043,1,1,,0.0042,0.0041,0.0038,,0.004,0.0039,0.0036,0.0011,0.0033,0.0045,,,0.0046,0.0016,0.0036,0.0046,0.0041,,,0.008869179600886918,0.004524886877828055
hypomap,kbet,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8205147671312701,0.852895246884184
hypomap,nmi,0.6712,,0.8152,0.5945,1,1,,0.6795,0.6687,0.6595,,0.6018,0.5812,0.6606,0.6884,0.0614,0.6006,,,0.6006,0.0003,0.0032,0.6087,0.6924,,,0.5275814265773302,0.5698759913104094
hypomap,pcr,0.2967,,,0.9996,0.4985,0.4985,,0.5585,0.5733,0.77,,0,1,0.7805,0.9959,0,0.2969,,,0.2713,0.9961,0.0000029263,0.6321,0,,,0.0,0.0
mouse_pancreas_atlas,ari,0.565,,0.7124,0.565,1,1,,0.8176,0.8158,0.6645,,0.3403,0.1028,0.6615,0.3068,-0.0002,0.8781,,,0.86,-0.0001,0.1204,0.3283,0.6389,,,0.27545661515821457,0.4664112332355234
mouse_pancreas_atlas,asw_batch,0.8708,,,0.9096,0.8347,0.8404,,0.8238,0.8291,0.6526,,0.8901,0.7835,0.6841,0.8145,0.7713,0.845,,,0.885,0.7018,0.7816,0.7641,0.9369,,,0.8576193451881409,0.8875188827514648
mouse_pancreas_atlas,asw_label,0.6043,,,0.552,0.9897,0.9897,,0.6033,0.6046,0.519,,0.604,0.4776,0.5203,0.5271,0.4943,0.6326,,,0.5541,0.4773,0.4997,0.604,0.5459,,,0.5470903515815735,0.5423251278698444
mouse_pancreas_atlas,cell_cycle_conservation,0.8459,,,0.7324,0.6823,0.6818,,0.7815,0.7782,0.5842,,0.8139,0.7687,0.5892,0.6208,0.0266,0.8139,,,0.7189,0.0267,0.0279,0.514,0.7246,,,0.8176111243904884,0.6535034603051117
mouse_pancreas_atlas,clisi,1,,0.8328,1,1,1,,0.9998,0.9997,0.9883,,1,0.9948,0.9934,0.9905,0.7129,1,,,1,0.7087,0.8334,1,0.9994,,,0.9999999999999999,0.9973494269800954
mouse_pancreas_atlas,graph_connectivity,0.9719,,0.9981,0.9465,1,1,,0.952,0.9236,0.8309,,0.9547,0.6426,0.818,0.9215,0.262,0.9922,,,0.9757,0.2728,0.4329,0.9546,0.9762,,,0.9389097241210551,0.9570842860716066
mouse_pancreas_atlas,hvg_overlap,,,,0.5869,,,,,,,,,,,0.318,0.2537,,,,,0.5338,1,0.5955,,,,,
mouse_pancreas_atlas,ilisi,0.0605,,0.1819,0.032,0.1427,0.1426,,0.0883,0.0882,0.1339,,0.0208,0.0022,0.1279,0.063,0.1735,0.06,,,0.0443,0.1784,0.0208,0.142,0.0451,,,0.023418486241430645,0.04870196391421534
mouse_pancreas_atlas,isolated_label_asw,0.7868,,,0.6886,0.9897,0.9897,,0.7305,0.7223,0.6471,,0.79,0.4402,0.6489,0.679,0.4986,0.7405,,,0.7078,0.5204,0.4284,0.79,0.5163,,,0.48498889803886414,0.6538742035627365
mouse_pancreas_atlas,isolated_label_f1,0.8543,,0.0779,0.7642,1,1,,0.0681,0.0715,0.1243,,0.8937,0.2244,0.1312,0.072,0.0054,0.9733,,,0.9101,0.0054,0.014,0.8948,0.0933,,,0.17690288713910762,0.7915129151291513
mouse_pancreas_atlas,kbet,,,,,0.8545,0.8496,,,,,,0.6484,0.7265,,,0.5297,,,,,0.5331,,0.8524,,,,0.12909809442025266,0.22731548640881533
mouse_pancreas_atlas,nmi,0.7877,,0.8116,0.7488,1,1,,0.788,0.7867,0.6231,,0.693,0.3922,0.6538,0.5388,0.0004,0.8649,,,0.8483,0.0004,0.2085,0.6831,0.7811,,,0.6371283433901895,0.6505401230351798
mouse_pancreas_atlas,pcr,0.2749,,,1,0.0865,0.0864,,0.4449,0.4441,0.8296,,0,1,0.8038,0.9784,0.9994,0.4547,,,0.5076,0.9994,4.6777e-8,0.3692,0.0183,,,0.0,0.0
